keyword,count
data,92
financial,71
analysis,43
experience,41
business,36
support,30
skills,28
strong,26
performance,24
management,22
reporting,20
advanced,18
tools,18
analyst,17
planning,17
analyze,16
years,16
supply,16
excel,15
key,15
marketing,15
teams,14
power,14
ability,14
dashboards,13
analytical,13
role,13
complex,13
related,13
communication,13
