label,count
"Cairo, Egypt",3
"New Cairo, Cairo",2
"Heliopolis, Cairo",2
"Maadi, Cairo",2
"Agouza, Giza",1
"Obour City, Cairo",1
"Port Said, Egypt",1
"New Capital, Cairo",1
"Giza, Giza",1
"Sheraton, Cairo",1
